Institution,State,Control,Median earnings 4 years after graduating,Cal Poly?
Kent State University at Kent,OH,Public,49375,
Purdue University Northwest,,Public,49326,
Spring Hill College,AL,"Private, nonprofit",49227,
Abilene Christian University,TX,"Private, nonprofit",49202,
Abilene Christian University-Undergraduate Online,,"Private, nonprofit",49202,
California State University-San Bernardino,CA,Public,49171,
University of Missouri-Kansas City,MO,Public,49135,
Dillard University,LA,"Private, nonprofit",49103,
University of Wisconsin-Stevens Point,WI,Public,48982,
Indiana University-Southeast,IN,Public,48931,
Cornerstone University,MI,"Private, nonprofit",48923,
Prairie View A & M University,TX,Public,48887,
Bemidji State University,MN,Public,48877,
North Carolina A & T State University,NC,Public,48804,
Frostburg State University,MD,Public,48762,
Belmont University,TN,"Private, nonprofit",48737,
University of Indianapolis,IN,"Private, nonprofit",48711,
Cleveland State University,OH,Public,48688,
Dallas Baptist University,TX,"Private, nonprofit",48598,
University of Wisconsin-Green Bay,WI,Public,48550,
University of Dubuque,IA,"Private, nonprofit",48537,
Columbus State University,GA,Public,48499,
Mississippi State University,MS,Public,48493,
Wartburg College,IA,"Private, nonprofit",48433,
Millersville University of Pennsylvania,PA,Public,48330,
Northwest Nazarene University,ID,"Private, nonprofit",48307,
Winthrop University,SC,Public,48303,
Southern University and A & M College,LA,Public,48264,
Southern University Law Center,LA,Public,48264,
Northeastern Illinois University,IL,Public,48247,
The University of Tennessee-Chattanooga,TN,Public,48212,
Indiana State University,IN,Public,48185,
Catawba College,NC,"Private, nonprofit",48181,
Moody Bible Institute,IL,"Private, nonprofit",48158,
Avila University,MO,"Private, nonprofit",48148,
Pennsylvania Western University,,Public,48116,
Aquinas College,MI,"Private, nonprofit",48075,
University of Missouri-St Louis,MO,Public,48059,
Dominican University New York,NY,"Private, nonprofit",47995,
Troy University,AL,Public,47978,
University of Michigan-Flint,MI,Public,47959,
Valdosta State University,GA,Public,47880,
Northern Michigan University,MI,Public,47875,
Palm Beach Atlantic University,FL,"Private, nonprofit",47847,
Southeast Missouri State University,MO,Public,47813,
Benedictine University,IL,"Private, nonprofit",47664,
University of Toledo,OH,Public,47659,
Idaho State University,ID,Public,47655,
Midwestern State University,TX,Public,47651,
Trinity Christian College,IL,"Private, nonprofit",47527,
Governors State University,IL,Public,47475,
Western Colorado University,CO,Public,47426,
Le Moyne College,NY,"Private, nonprofit",47382,
McNeese State University,LA,Public,47166,
Georgia State University,GA,Public,47132,
SUNY Old Westbury,NY,Public,47095,
Point Loma Nazarene University,CA,"Private, nonprofit",47092,
Holy Family University,PA,"Private, nonprofit",47047,
Castleton University,VT,Public,47035,
Northern Vermont University,VT,Public,47035,
Vermont State University,VT,Public,47035,
West Texas A & M University,TX,Public,47009,
York College of Pennsylvania,PA,"Private, nonprofit",46976,
Grand Valley State University,MI,Public,46938,
University of South Alabama,AL,Public,46828,
University of Arkansas at Little Rock,AR,Public,46743,
University of Lynchburg,VA,"Private, nonprofit",46733,
Gordon College,MA,"Private, nonprofit",46723,
Neumann University,PA,"Private, nonprofit",46653,
Purdue University Fort Wayne,IN,Public,46619,
Carson-Newman University,TN,"Private, nonprofit",46614,
SUNY at Purchase College,NY,Public,46596,
Washburn University,KS,Public,46497,
Jackson State University,MS,Public,46472,
Monmouth College,IL,"Private, nonprofit",46462,
Delaware State University,DE,Public,46440,
