Institution,State,Control,Median earnings 4 years after graduating,Cal Poly?
McNeese State University,LA,Public,43828,
University of Southern Maine,ME,Public,43823,
Colorado Mesa University,CO,Public,43733,
California State University-San Bernardino,CA,Public,43648,
Western Michigan University,MI,Public,43628,
Salem State University,MA,Public,43621,
East Carolina University,NC,Public,43585,
University of Missouri-St Louis,MO,Public,43582,
Oklahoma State University-Main Campus,OK,Public,43494,
Augustana College,IL,"Private, nonprofit",43492,
Worcester State University,MA,Public,43416,
American Public University System,WV,"Private, for-profit",43415,
Portland State University,OR,Public,43342,
California State Polytechnic University-Humboldt,CA,Public,43310,
University of Wisconsin-Stevens Point,WI,Public,43258,
Biola University,CA,"Private, nonprofit",43154,
Central Washington University,WA,Public,43101,
East Tennessee State University,TN,Public,43001,
Millersville University of Pennsylvania,PA,Public,42756,
Jacksonville State University,AL,Public,42655,
William Paterson University of New Jersey,NJ,Public,42632,
University of Colorado Colorado Springs,CO,Public,42627,
Wayne State University,MI,Public,42585,
Liberty University,VA,"Private, nonprofit",42576,
Austin Peay State University,TN,Public,42543,
Oregon State University,OR,Public,42541,
Oregon State University-Cascades Campus,OR,Public,42541,
Youngstown State University,OH,Public,42408,
University of North Florida,FL,Public,42390,
Columbus State University,GA,Public,42316,
University of Mississippi,MS,Public,42000,
Wright State University-Main Campus,OH,Public,41987,
Wright State University-Lake Campus,OH,Public,41987,
Western Illinois University,IL,Public,41984,
University of Louisiana at Lafayette,LA,Public,41936,
West Virginia University,WV,Public,41920,
Cleveland State University,OH,Public,41767,
Indiana University-Kokomo,IN,Public,41719,
Fort Lewis College,CO,Public,41653,
The University of Montana,MT,Public,41634,
Valdosta State University,GA,Public,41622,
Bowling Green State University-Main Campus,OH,Public,41578,
Eastern Washington University,WA,Public,41541,
Hamline University,MN,"Private, nonprofit",41531,
Nicholls State University,LA,Public,41459,
Murray State University,KY,Public,41383,
University of Memphis,TN,Public,41383,
Southern Illinois University Edwardsville,IL,Public,41310,
University of Toledo,OH,Public,41253,
Shippensburg University of Pennsylvania,PA,Public,41226,
