Institution,State,Control,Median earnings 4 years after graduating,Cal Poly?
University of Central Oklahoma,OK,Public,52852,
North Dakota State University-Main Campus,ND,Public,52834,
Widener University,PA,"Private, nonprofit",52765,
Stetson University,FL,"Private, nonprofit",52667,
University of New Mexico-Main Campus,NM,Public,52569,
Southern Illinois University Edwardsville,IL,Public,52564,
Kent State University at Kent,OH,Public,52423,
University of Nebraska at Omaha,NE,Public,52331,
University of Puget Sound,WA,"Private, nonprofit",52278,
Bellarmine University,KY,"Private, nonprofit",52228,
Susquehanna University,PA,"Private, nonprofit",52221,
York College of Pennsylvania,PA,"Private, nonprofit",52133,
Millersville University of Pennsylvania,PA,Public,52099,
University of Wyoming,WY,Public,52096,
Western Carolina University,NC,Public,52077,
The University of Tennessee-Martin,TN,Public,52029,
Creighton University,NE,"Private, nonprofit",51993,
California State University-Bakersfield,CA,Public,51882,
Whitman College,WA,"Private, nonprofit",51740,
University of Louisiana at Monroe,LA,Public,51722,
University of North Carolina at Greensboro,NC,Public,51657,
New Mexico State University-Main Campus,NM,Public,51641,
University of Central Arkansas,AR,Public,51475,
University of Missouri-Kansas City,MO,Public,51417,
University of Wisconsin-Milwaukee,WI,Public,51320,
Montana State University,MT,Public,51285,
Eastern Michigan University,MI,Public,51261,
Louisiana Tech University,LA,Public,51222,
Oakland University,MI,Public,51129,
Western Illinois University,IL,Public,50963,
University of Wisconsin-Stevens Point,WI,Public,50872,
California State University-San Marcos,CA,Public,50857,
Marshall University,WV,Public,50832,
University of the Pacific,CA,"Private, nonprofit",50827,
Morgan State University,MD,Public,50791,
Northern Kentucky University,KY,Public,50668,
University of Idaho,ID,Public,50593,
Texas A & M International University,TX,Public,50544,
Northern Michigan University,MI,Public,50520,
Central Michigan University,MI,Public,50462,
University of Wisconsin-Eau Claire,WI,Public,50316,
University of Northern Iowa,IA,Public,50277,
Idaho State University,ID,Public,50233,
Middle Tennessee State University,TN,Public,50169,
Lander University,SC,Public,50079,
University of Memphis,TN,Public,50070,
Lawrence University,WI,"Private, nonprofit",50021,
The University of Texas at Arlington,TX,Public,50006,
Stephen F Austin State University,TX,Public,49980,
Tennessee Technological University,TN,Public,49898,
State University of New York at Plattsburgh,NY,Public,49754,
Cleveland State University,OH,Public,49647,
Western Washington University,WA,Public,49640,
Ithaca College,NY,"Private, nonprofit",49440,
University of Wisconsin-Green Bay,WI,Public,49349,
Arkansas State University,AR,Public,49078,
Misericordia University,PA,"Private, nonprofit",48992,
University of Akron Main Campus,OH,Public,48987,
Grand Valley State University,MI,Public,48896,
Austin Peay State University,TN,Public,48840,
Florida Agricultural and Mechanical University,FL,Public,48733,
East Tennessee State University,TN,Public,48452,
Texas Woman's University,TX,Public,48429,
University of Louisiana at Lafayette,LA,Public,48378,
University of Toledo,OH,Public,48320,
Saint Cloud State University,MN,Public,48305,
William Paterson University of New Jersey,NJ,Public,48101,
Concordia College at Moorhead,MN,"Private, nonprofit",48014,
University of South Carolina-Upstate,SC,Public,47796,
Lincoln University,PA,Public,47374,
The University of Montana,MT,Public,47341,
North Carolina Central University,NC,Public,47317,
St. Joseph's University-New York,NY,"Private, nonprofit",47296,
Valdosta State University,GA,Public,47035,
Keene State College,NH,Public,47015,
St. Mary's University,TX,"Private, nonprofit",46620,
Wittenberg University,OH,"Private, nonprofit",46577,
Southern Connecticut State University,CT,Public,45270,
Kalamazoo College,MI,"Private, nonprofit",45265,
The University of Texas Rio Grande Valley,TX,Public,44895,
Francis Marion University,SC,Public,44803,
University of Alabama at Birmingham,AL,Public,44493,
Virginia State University,VA,Public,44002,
Eastern Kentucky University,KY,Public,43786,
University of North Alabama,AL,Public,43706,
University of Charleston,WV,"Private, nonprofit",43601,
Winthrop University,SC,Public,43566,
New Jersey City University,NJ,Public,43544,
East Stroudsburg University of Pennsylvania,PA,Public,42428,
California State Polytechnic University-Humboldt,CA,Public,41994,
Prairie View A & M University,TX,Public,41831,
University of Puerto Rico-Rio Piedras,PR,Public,41417,
Claflin University,SC,"Private, nonprofit",40910,
Kean University,NJ,Public,40805,
University of Puerto Rico-Mayaguez,PR,Public,26696,
